"* Required Fields","* wymagane pola"
"Address","Adres"
"Address Information","Informacje o adresie"
"Already registered?","Masz już konto?"
"Back","Powrót"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Zakładając konto w naszym sklepie będzie można przejść przez proces zamówienia dużo szybciej, przechowywać wiele adresów dostawy, śledzić statusy zamówień i korzystać z dodatkowych funkcji."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Zaznaczenie &quot;Zapamiętaj mnie&quot; pozwoli na dostęp do koszyka na tym komputerze nawet jeśli nie będziesz zalogowany"
"Checkout as Guest","Złóż zamówienie jako gość"
"Checkout as a Guest","Złóż zamówienie jako gość"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
"City","Miasto"
"Close","Zamknij"
"Company","Firma"
"Confirm Password","Potwierdź hasło"
"Continue","Kontynuuj"
"Country","Kraj"
"Create an Account","Utwórz konto"
"Easy access to your order history and status","Za pośrednictwem swojego konta możesz na bieżąco śledzić etapy realizacji zamówienia"
"Email Address","Adres e-mail"
"Fast and easy check out","W przyszłości nie musisz wypełniać forumlarzy"
"Fax","Faks"
"Forgot Your Password?","Nie pamiętasz hasła?"
"If you have an account with us, log in using your email address.","Jeśli masz konto w naszym sklepie, zaloguj się przy użyciu swojego adresu e-mail."
"Loading next step...","Ładowanie kolejnego kroku..."
"Login","Logowanie"
"Login Information","Informacje o logowaniu"
"Login or Create an Account","Zaloguj się lub utwórz konto"
"New Customers","Nowi klienci"
"Password","Hasło"
"Persist Comparison History","Zachowuj historię porównań"
"Persist Currently Compared Products","Zachowuj aktualnie porównywane produkty"
"Persist Customer Group Membership and Segmentation","Zachowuj przynależność klienta do grupy klientów oraz segmentację klientów"
"Persist Recently Ordered Items","Zachowuj ostatnio zamówione produkty"
"Persist Recently Viewed Products","Zachowuj ostatnio przeglądane produkty"
"Persist Wishlist","Zachowywanie schowka"
"Personal Information","Dane osobiste"
"Please log in below:","Skorzystaj z logowania jeżeli posiadasz już konto w naszym sklepie:"
"Please select region, state or province","Wybierz województwo"
"Register","Złóż zamówienie zakładając jednocześnie konto"
"Register and save time!","Zakładając konto oszczędzasz swój czas!"
"Register to Create an Account","Zarejestruj się i utwórz konto"
"Register with us for future convenience:","Zarejestruj się, aby korzystać z ułatwień:"
"Registered Customers","Zarejestrowani klienci"
"Save in address book","Zapisz w książce adresowej"
"Select State/Province...","Wybierz województwo..."
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub utwórz nowy adres."
"Ship to different address","Dostawa pod inny adres"
"Ship to this address","Dostawa pod ten adres"
"Sign Up for Newsletter","Zapisz się, aby otrzymywać newsletter"
"State/Province","Województwo"
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Submit","Prześlij"
"Telephone","Telefon"
"VAT Number","Numer NIP (VAT UE)"
"What is this?","Co to jest?"
"Zip/Postal Code","Kod pocztowy"
