"Add","Dodaj"
"Add Amount","Dodaj kwotę"
"Add giftcard to shopping cart (quote)","Dodaj kartę podarunkową do koszyka"
"All Websites","Wszystkie witryny"
"Allow Gift Message","Pozwól na wysłanie wiadomości"
"Allow Message","Pozwól na wysłanie wiadomości"
"Amount","Kwota"
"Amount in %s","Kwota w %s"
"An error has occurred while preparing Gift Card.","Wystąpił błąd podczas przygotowywania karty podarunkowej."
"Card Type","Typ karty"
"Catalog Product View (Gift Card)","Widok katalogu produktów (karta podarunkowa)"
"Choose an Amount...","Wybierz kwotę..."
"Combined","Łącznie"
"Delete","Usuń"
"Delete Amount","Usuń kwotę"
"Email Template","Szablon e-mail"
"Entered amount is too high","Wprowadzona kwota jest zbyt wysoka"
"Entered amount is too low","Wprowadzona kwota jest za niska"
"From","Od"
"Generate Gift Card Account when Order Item is","Generowanie konta Gift Card , gdy zamówienie jest"
"Gift Card","Karta podarunkowa"
"Gift Card Accounts","Konta Gift Card"
"Gift Card Accounts Generated From Gift Card","Konta Gift Card wygenerowane przez kartę podarunkową"
"Gift Card Email Settings","Ustawienia e-mail konta Gift Card"
"Gift Card General Settings","Ustawienia ogólne konta Gift Card"
"Gift Card Information","informacje o karcie podarunkowej"
"Gift Card Is Redeemable","Karta podarunkowa jest wymienialna"
"Gift Card Lifetime","Okres ważności karty podarunkowej"
"Gift Card Message","Wiadomość dołączona do karty podarunkowej"
"Gift Card Notification Email Sender","Nadawca wiadomości e-mail o karcie podarunkowej"
"Gift Card Notification Email Template","Szablon wiadomości e-mail informującej o karcie podarunkowej"
"Gift Card Recipient","Odbiorca karty podarunkowej"
"Gift Card Sender","Nadawca karty podarunkowej"
"Gift Card Type","Typ karty podarunkowej"
"Gift Card for Customer","Karta podarunkowa dla Klienta"
"Gift Card for Shopping Cart","Karta podarunkowa do koszyka"
"Gift Card max amount is %s","Maksymalna wartość karty podarunkowej to %s"
"Gift Card min amount is %s","Minimalna wartość karty podarunkowej to %s"
"Gift Message Maximum Length","Maksymalna długość wiadomości dołączonej do karty podarunkowej"
"GiftCard API","GiftCard API"
"GiftCard for Shopping Cart API","GiftCard for Shopping Cart API"
"If empty no expiration.","Jeśli puste bezterminowo."
"Invoiced","Zafakturowano"
"Is Redeemable","Jest wymienialna"
"Lifetime (days)","Okres ważności (dni)"
"Maximum length of the message is %d characters.","Maksymalna długość wiadomości to %d znaków."
"Maximum: %s","Maksymalna: %s"
"Message","Wiadomość"
"Minimum: %s","Minimum: %s"
"N/A","N/D"
"No","Nie"
"Ordered","Zamówiony"
"Other Amount...","Inna kwota..."
"Physical","Fizyczne"
"Please specify Gift Card amount.","Proszę podać wartość karty podarunkowej."
"Please specify all the required information.","Proszę podać wszystkie wymagane informacje."
"Please specify recipient email.","Proszę podać e-mail odbiorcy."
"Please specify recipient name.","Określ imię i nazwisko odbiorcy."
"Please specify sender email.","Proszę podać e-mail nadawcy."
"Please specify sender name.","Proszę podać imię i nazwisko nadawcy."
"Quantity","Ilość"
"Recipient Email","E-mail odbiorcy"
"Recipient Name","Nazwa odbiorcy"
"Redeem giftcard to customer store credit","Wymień kartę podarunkową na kredyt sklepowy"
"Redeemable","Wymienialna"
"Remove","Usuń"
"Remove giftcard from shopping cart (quote)","Usuń kartę podarunkową z koszyka"
"Retrieve full gift card account info","Pobrać pełne informacje o koncie Gift Card"
"Retrieve gift card accounts list","Pobrać listę kont Gift Card"
"Retrieve gift card customer info","Pobrać informacje o kliencie Gift Card"
"Retrieve giftcard customer data","Pobrać dane klienta Gift Card"
"Retrieve list of Giftcards in shopping cart","Pobrać listę kart podarunkowych w koszyku"
"Retrieve list of giftcards in shopping cart","Pobrać listę kart podarunkowych w koszyku"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Niektóre z kont Gift Card nie zostały wygenerowane poprawnie. Możesz utworzyć konto Gift Card ręcznie <a href=""%s"">tutaj</a>."
"Unable to create.","Nie można utworzyć."
"Up To","Do"
"Update gift card account info","Aktualizacja informacji konta Gift Card"
"Use Config Settings","Użyj ustawień konfiguracyjnych"
"Virtual","Wirtualny"
"Yes","Tak"
