"Active","Aktywny"
"Add Rule","Dodaj regułę"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"An error occurred while saving Product Rule.","Wystąpił błąd podczas zapisywania reguły produktu."
"Applies To","Dotyczy"
"Apply To","Zastosuj do"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kod cechy jest niepoprawny. Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Based on your selection, you may be interested in the following items:","Biorąc pod uwagę Twój wybór, mogą cię interesować również następujące produkty:"
"Both Selected and Rule-Based","Zarówno wybrane jak i oparte na regułach"
"Catalog","Katalog"
"Check items to add to the cart or","Zaznacz produkty, żeby dodać je do koszyka lub"
"Close","Zamknij"
"Conditions Combination","Kombinacja warunków"
"Constant Value","Stała wartość"
"Cross-sells","Sprzedaże krzyżowe"
"Date Expire","Data wygaśnięcia"
"Date Start","Data rozpoczęcia"
"Do not rotate","Nie obracaj"
"Edit Rule '%s'","Edycja reguły '%s'"
"From Date","Od daty"
"General Rule Information","Informacje o regule ogólnej"
"ID","ID"
"Inactive","Nieaktywny"
"Invalid date.","Nieprawidłowa data."
"Invalid product list type","Nieprawidłowy typ listy produktów"
"Invalid rotation mode type","Nieprawidłowy typ modelu obrotu"
"Manage Product Rules","Zarządzanie regułami produktów"
"Matched Product %s","Dopasowany produkt %s"
"Maximum Number of Products in Cross-Sell Product List","Maksymalna liczba produktów na liście sprzedaży krzyżowej"
"Maximum Number of Products in Related Products List","Maksymalna liczba produktów na liście produktów pokrewnych"
"Maximum Number of Products in Upsell Product List","Maksymalna liczba produktów na liście upsell"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maksymalna liczba produktów, do których może zostać dopasowana reguła. Ograniczona do 20."
"New Rule","Nowa reguła"
"Please choose a condition to add...","Wybierz warunek do dodania..."
"Please define product data object","Proszę określić obiekt danych produktu"
"Position Behavior","Zachowanie pozycji"
"Price (percentage)","Cena (procentowo)"
"Priority","Priorytet"
"Product","Produkt"
"Product Attributes","Cechy produktu"
"Product Match Conditions (leave blank for matching all products)","Warunki dopasowania produktu (zostaw puste, aby dopasować wszystkie produkty)"
"Product Price is %s %s%% of Matched Product(s) Price","Cena produktu jest %s %s%% ceny dopasowanych produktów"
"Product Result Conditions (leave blank for matching all products)","Warunki dopasowania produktu (zostaw puste, aby dopasować wszystkie produkty)"
"Product Rule Information","Informacje o regule produktu"
"Product Special","Produkt specjalny"
"Product list type identifier does not defined","Identyfikator typu listy produktów nie został zdefiniowany"
"Products to Display","Produkty do wyświetlania"
"Products to Match","Produkty do dopasowania"
"Related Products","Produkty powiązane"
"Result Limit","Ograniczenie rezultatu"
"Rotation Mode for Products in Cross-Sell Product List","Tryb obracania produktów na liście sprzedaży krzyżowej"
"Rotation Mode for Products in Related Product List","Tryb obracania produktów znajdujących się na liście produktów związanych"
"Rotation Mode for Products in Upsell Product List","Tryb obracania produktów znajdujących się na liście upsell"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Rule-Based Only","Oparte tylko na regułach"
"Rule-Based Product Relations","Relacje między produktami oparte na regułach"
"Rule-based Positions","Pozycje oparte na regułach"
"Rule-based Product Relations","Relacje między produktami oparte na regułach"
"Rule-based Settings","Ustawienia oparte na regułach"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Selected Only","Tylko wybrane"
"Show Cross-Sell Products","Pokaż produkty sprzedaży krzyżowej"
"Show Related Products","Pokaż produkty pokrewne"
"Show Upsell Products","Pokaż produkty upsell"
"Shuffle","Losowo"
"Status","Status"
"Target Product ","Produkt docelowy "
"Target Rules","Reguły docelowe"
"The rule has been deleted.","Reguła została usunięta."
"The rule has been saved.","Reguła została zapisana."
"This rule no longer exists","Ta reguła już nie istnieje"
"To Date","Do daty"
"Unable to find a page to delete","Nie znaleziono strony do usunięcia"
"Undefined Catalog Product List Type","Niezdefiniowany typ listy katalogów produktów"
"Up-sells","Produkty alternatywne"
"Use Config Settings","Użyj ustawień konfiguracyjnych"
"Wrong rule specified.","Wybrano nieprawidłową regułę."
"You may also be interested in the following product(s)","Mogą cię również zainteresować następujące produkty"
"equal to","równy"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"less","mniej"
"more","więcej"
"select all","zaznacz wszystko"
"the Child of the Matched Product Categories","podkategorie dopasowanych kategorii produktów"
"the Same as Matched Product Categories","tylko dla dopasowanych kategorii produktów"
"unselect all","odznacz wszystko"
