"%s Item(s)","%s produkt(ów)"
"* Required Fields","* wymagane pola"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do listy życzeń"
"Additional Information","Informacje dodatkowe"
"Alert Urls","URL alertu"
"An error occured while reindexing the products.","Wystąpił błąd podczas ponownego indeksowania produktów."
"Bottom Block Options Wrapper","Opakowanie dolnego bloku opcji"
"Cache refresh needed. (NOTE: A dot ""."" before suffix is added automatically)","Wymagane odświeżenie pamięci podręcznej. (Uwaga: kropka ""."" przed sufiksem jest dodawana automatycznie)"
"Catalog Category (Anchor)","Kategoria katalogu (zakotwiczona)"
"Catalog Category (Non-Anchor)","Kategoria katalogu (niezakotwiczona)"
"Catalog Category/Product Index","Indeks przypisania produktów do kategorii"
"Catalog Product Compare List","Lista porównania produktów katalogu"
"Catalog Product Email to a Friend","Wyślij produkt do znajomego"
"Catalog Product Image Gallery Popup","Nowe okno galerii obrazków produktu"
"Catalog Product View (Any)","Widok produktu (dowolny)"
"Catalog Seo Sitemap (Category List)","Mapa SEO witryny katalogu (lista kategorii)"
"Catalog Seo Sitemap (Category Tree)","Mapa SEO witryny katalogu (drzewo kategorii)"
"Catalog Seo Sitemap (Common)","Mapa SEO witryny katalogu (ogólna)"
"Catalog Seo Sitemap (Product List)","Mapa SEO witryny katalogu (lista produktów)"
"Catalog product price","Cena katalogu produktów"
"Category","Kategoria"
"Category Flat Data","Płaskie dane kategorii"
"Category Flat Index","Płaski indeks kategorii"
"Category URL Rewrite","Przekierowanie URL kategorii"
"Category URL Rewrites","Przekierowania URL kategorii"
"Category URL Suffix","Sufiks URL kategorii"
"Check items to add to the cart or","Zaznacz produkty, żeby dodać je do koszyka lub"
"Clear All","Wyczyść wszystko"
"Click on image to zoom","Kliknij na obrazek, aby powiększyć"
"Close Window","Zamknij okno"
"Compare Products","Porównaj produkty"
"Create Custom Redirect for old URL","Stwórz niestandardowe przekierowanie na stary adres URL"
"Details","Szczegóły"
"Double click on above image to view full picture","Kliknij na obrazek, aby obejrzeć pełną wersję"
"Email to a Friend","Wyślij znajomemu"
"ID","ID"
"In stock","W magazynie"
"Index categories URL rewrites","Indeks przekierowań URL kategorii"
"Index product prices","Indeksuj ceny produktów"
"Index products URL rewrites","Indeks przekierowań URL produktów"
"Indexed category/products association","Zaindeksowane powiązania kategorii/produktów"
"Info Column Options Wrapper","Wrapper opcji kolumny informacjiu"
"Invalid attribute %s","Nieprawidłowa cecha %s"
"Items %s-%s of %s","Produkty %s-%s of %s"
"Learn More","Dowiedz się więcej"
"More Views","Więcej widoków"
"Name","Nazwa"
"New Products","Nowe produkty"
"Out of stock","Brak w magazynie"
"Please wait...","Prosimy czekać..."
"Price and Stock Index","Indeks cen oraz produktów"
"Print This Page","Drukuj stronę"
"Product","Produkt"
"Product Flat Data","Płaskie dane produktu"
"Product Flat Index","Płaski indeks produktu"
"Product Tags List","Lista tagów produktu"
"Product URL Rewrite","Przekierowanie URL produktu"
"Product URL Rewrites","Przekierowania URL produktów"
"Product URL Suffix","Sufiks URL produktu"
"Product View Extra Hint","Dodatkowa podpowiedź widoku produktu"
"Quick Overview","Krótki opis"
"Related Products","Produkty powiązane"
"Remove Product","Usuwanie produktu"
"Reorganize EAV category structure to flat structure","Przeorganizuj strukturę EAV kategorii do płaskiej struktury"
"Reorganize EAV product structure to flat structure","Przeorganizuj strukturę EAV produktów do płaskiej struktury"
"SKU","SKU"
"SKU# %s","SKU# %s"
"Select Category","Wybierz kategorię"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"Shop By","Kupuj wg"
"Shopping Options","Opcje zakupów"
"Show","Pokaż"
"Skip Category Selection","Pomiń wybór kategorii"
"Sort By","Sortuj wg"
"Status","Status"
"Subscribe to RSS Feed","Subskrybuj kanał RSS"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Moduł płaskiego katalogu ma ograniczenie do %2\$d filtrowalnych i/lub sortowalnych cech. Aktualnie masz tam %1\$d z nich. Prosimy zredukować liczbę filtrowalnych/sortowalnych cech w celu użycia tego modułu"
"There are no products matching the selection.","Brak produktów odpowiadających zapytaniu."
"URL Redirect","Adres URL przekierowania"
"Unsupported product type ""%s"".","Nieobsługiwany typ produktu %s"".""."
"View as","Zobacz jako"
"You may also be interested in the following product(s)","Mogą cię również zainteresować następujące produkty"
"Zoom In","Powiększ"
"Zoom Out","Zmniejsz"
"per page","na stronę"
"select all","zaznacz wszystko"
"unselect all","odznacz wszystko"
