"-- First Please Select a Website --","-Najpierw proszę wybrać witrynę--"
"Action","Operacja"
"Active","Aktywny"
"Add Gift Card","Dodaj kartę upominkową"
"Add Gift Card Account","Dodaj konto karty upominkowej"
"Additional information","Informacje dodatkowe"
"Alphabetical","Alfabetycznie"
"Alphanumeric","Alfanumerycznie"
"Are you sure you want to delete these gift card accounts?","Czy na pewno chcesz usunąć te konta kart podarunkowych?"
"Available","Dostępne"
"Balance","Bilans"
"Balance Change","Zmiana bilansu"
"Balance cannot be less than zero.","Bilans nie może być mniejszy od zera."
"By admin: %s.","Przez Administratora: %s."
"Cannot apply Gift Card","Nie można zastosować karty podarunkowej"
"Cannot apply gift card.","Nie można zastosować karty podarunkowej."
"Cannot redeem Gift Card.","Nie można wykorzystać karty podarunkowej."
"Cannot remove Gift Card","Nie można usunąć karty podarunkowej"
"Cannot remove gift card.","Nie można usunąć karty podarunkowej."
"Check","Wybierz"
"Check Gift Card status and balance","Sprawdź stan i bilans karty podarunkowej"
"Check status and balance","Sprawdź stan i bilans"
"Code","Kod"
"Code Format","Format kodu"
"Code Length","Długość kodu"
"Code Pool used: <b>%.2f%%</b> (free <b>%d</b> of <b>%d</b> total).","Wykorzystana pula kodów: <b>%.2f%%</b> (wolnych <b>%d</b> z <b>%d</b>)."
"Code Pool used: <b>%.2f%%</b> (free <b>%d</b> of <b>%d</b> total). Generate new code pool <a href=""%s"">here</a>.","Wykorzystana pula kodów: <b>%.2f%%</b> (wolnych <b>%d</b> z <b>%d</b>). Wygeneruj <a href=""%s"">tutaj</a> nową pulę kodów."
"Code Prefix","Prefiks kodu"
"Code Suffix","Sufiks kodu"
"Create","Utwórz"
"Create gift card account","Utwórz konto karty podarunkowej"
"Created","Utworzono"
"Current Balance: %s","Bieżący bilans: %s"
"Customer #%s.","Klient nr %s."
"Customer My Account Gift Card Check Form","Formularz sprawdzania karty podarunkowej klienta w panelu Moje Konto"
"Customers","Klienci"
"Dash Every X Characters","Kreska co każde X znaków"
"Date","Data"
"Date Created","Data utworzenia"
"Delete","Usuń"
"Do you really want to proceed? All unsaved changes will be lost.","Czy chcesz kontynuować? Wszystkie niezapisane zmiany zostaną utracone."
"Edit Gift Card Account","Edytuj konto karty podarunkowej"
"Edit Gift Card Account: %s","Edytuj konto karty podarunkowej: %s"
"Email Sent from Gift Card Account Management","E-mail wysłany z panelu zarządzania kontem karty podarunkowej"
"Email Template","Szablon e-mail"
"Email was not sent because the gift card account is not active.","Wiadomość e-mail nie została wysłana, ponieważ konto karty podarunkowej nie jest aktywne."
"Enter Gift Card code","Wpisz kod karty podarunkowej"
"Enter gift card code","Wpisz kod karty podarunkowej"
"Enter the gift card code","Wprowadź kod z karty podarunkowej"
"Excluding prefix, suffix and separators.","Bez prefiksu, sufiksu i separatorów."
"Expiration Date","Data ważności"
"Expiration date cannot be in the past.","Data ważności nie może być datą z przeszłości."
"Expired","Przeterminowane"
"Expires: %s","Wygasa: %s"
"Generate","Wygeneruj"
"Gift Card","Karta podarunkowa"
"Gift Card ""%s"" was added.","Karta prezentowa ""%s"" została dodana."
"Gift Card ""%s"" was redeemed.","Karta prezentowa ""%s"" została wykorzystana."
"Gift Card ""%s"" was removed.","Karta prezentowa ""%s"" została usunięta."
"Gift Card (%s)","Karta prezentowa (%s)"
"Gift Card Account","Konta Gift Card"
"Gift Card Account General Settings","Ustawienia ogólne konta Gift Card"
"Gift Card Account Sent From Edit Page","Konto karty podarunkowej wysłane ze strony edycji"
"Gift Card Account has been deleted.","Konto Gift Card zostało usunięte."
"Gift Card Accounts","Konta karty podarunkowej"
"Gift Card Balance Check Form","Formularz sprawdzania salda karty"
"Gift Card Code","Kod karty podarunkowej"
"Gift Card Email Sender","Nadawca wiadomości e-mail o karcie podarunkowej"
"Gift Card Redeemed: %s. For customer #%s.","Karta wykupiona: %s. Dla klienta nr %s."
"Gift Card Template","Szablon karty podarunkowej"
"Gift Card amount applied to order: %s","Kwota z karty prezentowej zastosowana do zamówienia: %s"
"Gift Card status","Status karty podarunkowej"
"Gift Card: %s","Karta podarunkowa: %s"
"Gift Cards","Karty podarunkowe"
"Gift card account %s balance does not have funds.","Na koncie karty podarunkowej %s brakuje środków."
