"200 OK","200 OK"
"503 Service Unavailable","503 Usługa niedostępna"
"Access Restriction","Ograniczenie dostępu"
"Applicable only if restriction mode is ""Website Closed"". Landing page is rendered as raw HTML.","Stosuje się tylko, gdy status trybu ograniczonego to ""strona zamknięta"". Strona docelowa jest renderowana jako czysty HTML."
"Applicable only in ""Private Sales"" mode.","Stosuje się tylko w trybie ""prywatnej sprzedaży""."
"CMS Content Wrapper","Wrapper zawartości CMS"
"HTTP Response","Odpowiedź HTTP"
"Landing Page","Strona docelowa"
"Main Content Area","Obszar głownej treści"
"Private Sales: Login Only","Sprzedaż prywatna: tylko dla zalogowanych"
"Private Sales: Login and Register","Sprzedaż prywatna: zarejestruj i zaloguj się"
"Restriction Mode","Tryb ograniczony"
"Startup Page","Strona startowa"
"To landing page (302 Found)","Przekierowanie na stronę docelową (HTTP 302 Found)"
"To login form (302 Found)","Przekierowanie do strony logowania (HTTP 302 Found)"
"Website Closed","Strona zamknięta"
"Website Closed Private Sales Landing Page","Website Closed Private Sales Landing Page"
"Website Closed Stub Page","Website Closed Stub Page"
